,sBondCount,dBondCount,tBondCount,Energy
0,10,1,0,-110.12610999999924
1,7,1,0,-41.45798000000002
2,4,0,1,-30.593240000000037
3,10,1,0,-85.93762999999899
4,5,2,0,-37.04579000000001
5,5,2,0,-37.04564000000005
6,7,2,0,-48.67524000000003
7,4,1,1,-37.424480000000024
8,21,1,0,-99.37466999999832
9,21,0,0,-123.61012999999798
10,50,2,0,-225.72434999999768
11,10,0,0,-77.89363999999931
12,10,0,0,-131.02450999999883
13,12,2,0,-136.71545999999944
14,7,1,0,-72.90970999999969
15,9,1,0,-84.48557999999912
16,6,0,0,-60.19734999999992
17,15,0,0,-159.01218999999858
18,12,0,0,-182.17578999999927
19,12,0,0,-182.17583999999897
20,15,0,0,-159.08397999999806
21,6,0,1,-73.2540899999999
22,12,1,0,-128.54754999999886
23,30,2,0,-215.7012799999989
24,70,6,0,-346.07925000001336
25,17,0,0,-141.12619999999833
26,11,0,0,-115.79565999999909
27,13,0,0,-54.12874999999997
28,10,0,0,-40.787360000000035
29,16,0,0,-66.83258999999998
30,8,1,0,-76.94248999999945
31,6,0,0,-58.82020999999998
32,13,0,0,-54.16005999999993
33,6,0,0,-58.127629999999506
34,6,0,0,-58.168129999999344
35,4,0,0,-15.096670000000017
36,4,0,0,-14.107180000000087
37,7,0,0,-28.830470000000105
38,10,0,0,-41.48559
39,10,0,0,-41.60123999999996
40,9,0,0,-71.69043999999941
41,13,0,0,-55.57046999999999
42,14,0,0,-60.80611999999997
43,14,0,0,-60.869330000000105
44,21,0,0,-90.94746999999849
45,18,1,0,-86.69099999999891
46,18,0,0,-111.01220999999849
47,18,0,0,-110.98787999999855
48,18,0,0,-111.00135999999858
49,11,1,0,-55.51206000000002
50,27,1,0,-121.48352999999815
51,17,1,0,-80.87158999999906
52,23,1,0,-106.09429999999816
53,4,0,0,-13.859100000000124
54,7,0,0,-28.030959999999933
55,16,0,0,-67.92854000000023
56,13,0,0,-54.92904000000011
57,7,1,0,-73.2268999999999
58,10,0,0,-77.19317999999929
59,10,0,0,-77.28722999999945
60,10,0,0,-77.27066999999944
61,6,0,0,-59.59592999999995
62,11,0,0,-115.22160999999892
63,11,0,0,-115.18379999999912
64,11,0,0,-115.188339999999
65,13,0,0,-54.89062000000001
66,13,0,0,-55.095100000000116
67,12,0,0,-120.24166999999944
68,4,0,0,-13.481220000000008
69,12,0,0,-119.98426999999857
70,19,0,0,-80.18751999999927
71,16,0,0,-67.55630000000008
72,16,0,0,-67.74811000000011
73,16,0,0,-67.74140999999997
74,10,0,0,-42.15125000000001
75,10,0,0,-42.409370000000074
76,7,1,0,-36.43483000000015
77,9,0,0,-72.46997999999917
78,9,0,0,-72.48894999999925
79,9,0,0,-72.45793999999933
80,76,1,0,-326.14424999999716
81,12,0,0,-166.72513999999862
82,55,3,0,-255.98114999999825
83,53,4,0,-256.6632400000017
84,6,1,0,-93.6268499999992
85,12,2,0,-64.83769999999993
86,18,0,0,-75.92147999999986
87,19,0,0,-81.24043999999913
88,16,1,0,-76.21863999999937
89,15,1,0,-70.23987
90,15,0,0,-63.155099999999955
91,12,1,0,-57.54174
92,11,0,0,-108.62650000000076
93,12,0,0,-113.23902000000088
94,58,2,0,-299.2872100000086
95,8,0,0,-115.79298999999901
96,12,0,0,-120.89891999999918
97,8,0,0,-114.63786999999913
98,6,0,0,-57.37047999999959
99,6,0,0,-57.394439999999584
100,6,0,0,-57.399459999999635
101,11,0,0,-113.02283999999895
102,7,0,0,-27.338840000000005
103,4,1,0,-21.544639999999962
104,4,0,0,-14.515820000000074
105,10,0,0,-40.00900999999999
106,10,0,0,-40.102379999999926
107,26,0,0,-111.07285999999772
108,26,1,0,-119.21354999999814
109,16,0,0,-67.29936999999903
110,11,0,0,-46.82275999999956
111,10,0,0,-76.48758999999927
112,10,0,0,-76.46921999999951
113,6,0,0,-58.87689999999975
114,6,0,0,-58.93866999999978
115,6,0,0,-58.94297999999981
116,11,0,0,-114.56480999999893
117,11,0,0,-114.5717099999988
118,11,0,0,-114.65954999999941
119,11,0,0,-114.56507999999941
120,11,0,0,-114.60850999999913
121,11,0,0,-114.55839999999898
122,11,0,0,-114.46168999999918
123,11,0,0,-114.60654999999906
124,13,0,0,-54.13906999999927
125,13,0,0,-54.45829999999933
126,8,0,0,-114.4972699999994
127,12,0,0,-119.5746999999997
128,12,0,0,-119.57295999999997
129,4,0,0,-17.284089999999882
130,12,0,0,-119.3489299999992
131,12,0,0,-119.46914999999944
132,7,0,0,-28.781010000000038
133,7,0,0,-28.70294000000001
134,4,1,0,-22.88815000000011
135,4,1,0,-22.88406000000009
136,14,0,0,-57.231569999999245
137,4,0,0,-15.746410000000086
138,10,0,0,-41.470400000000154
139,10,0,0,-41.57556000000011
140,14,0,0,-94.02018999999927
141,21,0,0,-90.63870999999857
142,21,0,0,-90.98800999999844
143,18,0,0,-111.1937599999985
144,14,0,0,-60.392580000000066
145,22,2,0,-147.63102999999907
146,6,0,0,-56.29097999999954
147,4,1,0,-20.44824000000005
148,34,2,0,-198.31644999999844
149,20,0,0,-85.97938999999883
150,20,1,0,-93.8645699999986
151,15,1,0,-108.0595899999989
152,12,0,0,-52.506470000000036
153,20,0,0,-86.0433799999987
154,20,0,0,-86.0712599999988
155,23,0,0,-98.6468899999984
156,23,0,0,-98.7422199999985
157,23,0,0,-98.83146999999849
158,23,0,0,-98.80200999999852
159,20,0,0,-86.32800999999881
160,20,0,0,-86.36752999999884
161,23,0,0,-99.04866999999832
162,23,0,0,-99.01331999999843
163,23,0,0,-98.86415999999849
164,23,0,0,-98.93794999999818
165,23,0,0,-98.97616999999832
166,13,1,0,-66.70191
167,12,0,0,-85.8790700000002
168,12,0,0,-85.92359000000009
169,12,0,0,-85.91079999999987
170,19,0,0,-80.92963999999995
171,20,0,0,-86.05602999999884
172,24,0,0,-101.2421299999994
173,14,0,0,-121.31010999999876
174,22,0,0,-93.47664999999996
175,16,2,0,-122.079909999999
176,16,2,0,-122.23385999999935
177,19,4,0,-109.40938999999868
178,12,0,0,-120.7020199999988
179,14,0,0,-128.45811999999842
