,sBondCount,dBondCount,tBondCount,Energy
0,13,0,0,-58.66143999999918
1,13,2,0,-78.40259999999944
2,17,2,0,-96.51026999999884
3,16,2,0,-91.06045999999924
4,22,1,0,-108.2115199999987
5,23,2,0,-121.019209999999
6,17,1,0,-85.38555999999926
7,7,3,0,-53.25405999999998
8,54,1,0,-238.80307999999604
9,11,0,0,-50.83127000000002
10,19,2,0,-171.5167799999999
11,33,1,0,-185.14318999999801
12,22,1,0,-107.46133999999891
13,46,0,0,-204.77049000000991
14,12,0,0,-53.45855000000017
15,8,1,0,-42.56460000000004
16,42,0,1,-221.9253299999987
17,15,3,0,-125.83601999999884
18,25,1,0,-104.705449999999
19,57,3,0,-264.2018699999985
20,76,1,0,-326.6635199999969
21,41,0,0,-208.132349999998
22,22,3,0,-185.42844999999943
23,40,0,0,-241.4117499999984
24,22,1,0,-164.82785999999942
25,20,0,0,-89.51636999999846
26,24,0,0,-107.71576999999887
27,20,1,0,-132.88131999999814
28,7,1,0,-99.76208999999879
29,16,2,0,-183.38186000000002
30,25,0,0,-177.4367599999987
31,21,0,0,-126.63058999999794
32,10,0,0,-77.95278999999937
33,18,1,0,-88.11022999999884
34,13,0,0,-54.658959999999524
35,28,1,0,-134.33667000000014
36,15,1,0,-75.56670999999892
37,18,1,0,-125.81553999999868
38,31,4,0,-176.35739000000012
39,14,1,0,-142.15420999999878
40,17,1,0,-120.55645999999842
41,9,0,0,-38.75154999999995
42,20,1,0,-97.6701399999988
43,8,0,0,-38.30788000000007
44,7,1,0,-41.88247000000001
45,48,5,0,-287.3119600000091
46,30,1,0,-123.99382999999945
47,37,0,0,-229.03342999999813
48,28,1,0,-193.19406000000527
49,21,1,0,-171.12036999999827
50,24,0,0,-191.93863999999888
51,5,0,0,-57.44709
52,20,1,0,-97.68505999999887
53,14,1,0,-72.42112999999905
54,95,2,0,-423.4273300000168
55,15,2,0,-79.37179999999898
56,5,1,0,-34.88868999999977
57,46,0,0,-204.77829000000926
58,22,2,0,-111.8340899999987
59,16,1,0,-115.11962999999857
60,22,1,0,-140.30832999999802
61,8,0,0,-35.482270000000085
62,3,1,0,-23.413350000000037
63,6,1,0,-36.42049000000009
64,33,2,0,-165.0623299999979
65,41,2,0,-267.8236500000112
66,22,2,0,-114.23072999999886
67,17,1,0,-116.28446999999916
68,8,0,0,-127.17299999999908
69,14,1,0,-107.24672999999892
70,15,4,0,-131.13778000000002
71,13,3,0,-112.47865999999884
72,5,0,0,-22.63686000000001
73,11,0,0,-48.255330000000065
74,8,1,0,-43.317380000000064
75,8,1,0,-38.1960600000001
76,34,4,0,-178.1862499999989
77,7,1,0,-39.628369999999904
78,48,2,1,-226.7827199999984
79,14,2,0,-148.20253000000002
80,4,1,0,-86.00426999999969
81,36,3,0,-218.53083999999998
82,25,0,0,-112.73128999999835
83,46,0,0,-204.85963000000905
84,4,3,0,-98.31529999999977
85,16,0,0,-135.02377000000024
86,8,2,0,-87.86679999999978
87,14,2,0,-83.85059999999908
88,81,5,0,-401.24624000001677
89,14,1,0,-103.73933999999895
90,11,0,0,-48.1450900000001
91,6,1,0,-73.37614999999983
92,123,2,0,-540.9399599999597
93,9,1,0,-50.70989999999985
94,15,1,0,-77.60461999999895
95,30,1,0,-124.38583999999945
96,25,0,0,-174.22599999999875
97,14,2,0,-147.6922899999995
98,29,0,0,-190.62594999999828
99,17,1,0,-141.03561999999874
100,6,0,0,-91.3169199999993
101,20,1,0,-97.60803999999894
102,27,4,0,-211.55042000000503
103,22,3,0,-152.70673999999917
104,23,2,0,-124.76797999999826
105,4,0,0,-17.605459999999994
106,7,0,0,-30.230760000000032
107,4,1,0,-24.322730000000032
108,2,0,1,-18.448129999999992
109,6,0,0,-28.108389999999986
110,1,0,1,-17.629009999999994
111,10,0,0,-42.89868000000007
112,5,0,1,-31.389909999999986
113,4,1,0,-23.681359999999927
114,9,0,0,-40.90841
115,4,0,1,-30.593340000000072
116,4,1,0,-28.886879999999906
117,4,1,0,-27.098509999999923
118,8,0,0,-33.35597000000007
119,7,0,0,-28.94608000000005
120,4,0,0,-12.919739999999932
121,10,0,0,-41.60127
122,4,0,0,-14.10717000000011
123,10,0,0,-41.01821999999993
124,12,0,0,-53.52914999999996
125,4,0,0,-11.129400000000034
126,11,0,0,-47.31776000000002
127,10,1,0,-46.728360000000066
